DATE,DESCRIPTION,WITHDRAWAL,DEPOSIT,BALANCE
,Previous balance,,,"27,584.38"
03/02,Internet Bill,75.99,,"27,508.39"
03/05,Electric Bill,253.68,,"27,254.71"
03/06,Check No. 4598 Payment from Lisa Williams,,456.84,"27,711.55"
03/10,Deposit from Credit Card Processor,,"5,891.26","33,602.81"
03/12,Payroll Run,"3,894.75",,"29,708.06"
03/16,Debit Transaction Main Office Wholesale,243.46,,"29,464.60"
03/21,Rent Bill,750.00,,"28,714.60"
03/21,Check No. 234 Payment From Mark Moore,,268.84,"28,983.44"
03/26,Payroll Run,"3,743.23",,"25,240.21"
03/28,Deposit,,"3,656.45","28,896.66"
03/29,Debit Transaction ABC Business Supplies,"1,548.96",,"27,347.70"
